"tx","wc","x","y"
1,14,1.6956520081,0
1,20,100.12762451,104
0,0,50.958312988,0
0,0,35.208312988,60
0,0,10.145828247,2
0,0,68.1875,4
1,22,40.510620117,671
0,0,26.479156494,13
0,0,11.708328247,0
0,0,31.5,0
1,17,25.170211792,10
0,0,55.833312988,2
1,10,50.395812988,1
1,18,13.25,11
0,0,86.6875,256
0,0,54.9375,4
0,0,84.604125977,39
1,10,35.541656494,40
0,0,40.729156494,42
1,6,112.46807861,5
1,7,102.60412598,108
0,0,51.541656494,74
0,0,7.2765922546,5
0,0,26.489349365,21
1,17,11.191482544,0
1,2,4.6511611938,12
1,9,45.958312988,1
1,10,80.791625977,0
1,9,25.625,90
0,0,114.54162598,389
0,0,4.42552948,2
0,0,93.354125977,189
1,6,9.0416641235,0
0,0,79.872314453,1
1,55,152.70825195,35
0,0,30.5,283
0,0,52.3125,181
0,0,13.564102173,0
1,11,11.5625,0
1,49,21.255310059,2
0,0,66.770812988,65
0,0,15.625,0
0,0,123.875,470
0,0,61,51
1,2,5.1875,0
1,5,3.5208320618,0
0,0,406.66650391,19
1,12,26.895828247,156
0,0,7.7083320618,0
1,4,11.5625,23
0,0,153.5625,147
0,0,3.1875,0
0,0,29.770828247,52
0,0,109.9375,170
0,0,1.127658844,4
0,0,65.541625977,52
1,36,36.765930176,0
1,7,23.5625,37
0,0,26.782608032,0
1,9,44.5625,5
0,0,34.625,9
1,9,47.1875,63
1,3,44.170196533,12
0,0,51.770812988,31
0,0,12.27658844,9
0,0,30.645828247,0
1,19,4.4318161011,12
0,0,83.270812988,24
1,47,92.645812988,0
1,41,88.416625977,2
0,0,70.6875,150
0,0,21.085098267,498
0,0,14.8125,24
0,0,88.270812988,257
0,0,96.4375,4
