enrolldt,price,downpmt,monthdue,pmttype,use,age,gender,default
19970101,908.39,50,5.82,1,0,53,2,1
19970219,633.44,25,5.82,1,0,20,2,1
19970408,1246.79,25,5.82,1,1,30,2,1
19970702,876.67,25,4.23,1,3,26,1,1
19970113,1573.01,100,5.86,1,0,28,1,1
19971124,529.34,20,4.33,1,0,19,2,1
19971206,1248.12,75,4.33,1,0,21,2,1
19980512,1486.27,75,6.5,1,0,22,1,1
19980518,1280.6,65,6.5,1,0,28,2,1
19980808,1162.61,19,6.95,3,0,26,1,1
19980814,1215.65,75,6.95,3,0,33,1,1
19980820,1162.61,25,6.95,1,0,21,1,1
19980826,1162.61,19,6.95,1,0,19,2,1
19980828,1162.61,25,6.95,3,0,56,2,1
19980906,1567.46,26,7.95,3,0,27,2,1
19980930,702.54,25,7.95,3,0,21,1,1
19981112,1513.34,50,8,3,0,24,2,1
19970106,979,0,18,1,0,24,1,1
19970915,599,25,6,1,0,25,1,1
19970622,1048,150,5.5,1,0,0,1,1
19970719,1107,150,4,1,0,44,2,1
19970731,449,38,4,1,0,36,1,1
19971203,1048,175,4,4,0,29,2,1
19980105,949,50,5.5,1,0,25,1,1
19970210,1357,55,5.5,1,0,21,1,1
19970217,2937,15,5.5,1,0,47,2,1
19970415,1545.81,75,2.98,1,0,34,1,1
19970510,1545.81,71,5.96,1,0,0,2,1
19970519,1329.31,75,5.96,1,0,37,1,1
19970317,859,5,5.5,1,0,22,2,1
19970318,773,5,5.5,1,0,23,1,1
19970110,1226.16,50,5.72,1,3,26,2,1
19970114,1018.16,50,5.72,1,0,31,1,1
19970304,1037.74,50,5.83,1,1,27,1,1
19970205,648.42,11,5.96,1,0,38,1,1
19970428,1276.27,50,11,1,0,25,2,1
19970717,475.94,19,4.24,1,1,27,2,1
19970722,1301.68,50,4.24,5,0,24,2,1
19970216,733.79,50,11,1,0,21,1,1
19970813,584.69,20,26,1,0,26,2,1
19970612,859,35,5.5,1,0,28,1,1
19970219,1042.64,50,2.93,1,0,32,1,1
19970325,2103.38,200,4.39,1,2,3,2,1
19970328,833.9,75,4.39,1,1,41,1,1
19970731,449,19,4,1,1,24,1,1
19970122,599,25,5.5,1,0,23,2,1
19970212,1179,50,2.75,1,0,24,2,1
19970321,1179,50,5.5,1,1,33,1,1
19970326,599,25,5.5,1,0,35,1,1
19970113,1179,44,5.5,1,0,30,2,1
19970212,699,30,5.5,1,0,24,2,1
19970213,979,50,8.5,1,0,20,2,1
19970509,979,40,8.5,1,0,45,1,1
19970604,979,50,8.5,1,0,29,1,1
19970417,531.44,25,5.86,1,0,19,2,1
19970418,531.44,25,5.86,1,0,24,2,1
19970430,1201.32,100,2.93,1,0,38,1,1
19971010,1174.16,50,5.72,1,0,31,1,1
19970109,1677,150,5.5,1,0,21,2,1
19970904,979,100,8.5,1,0,40,2,1
19980611,1288,150,10.75,3,0,27,1,1
19980623,1876,100,10.25,1,0,31,2,1
19980926,879,25,8,3,1,34,1,1
19990118,699,0,8,5,1,48,1,1
19990125,999,75,4,3,1,23,1,1
19970104,1545.81,30,5.96,1,0,27,2,1
19970110,929.87,20,5.96,1,0,36,1,1
19970202,1276.27,5,5.96,1,0,30,1,1
19970326,1009,50,8,1,0,27,2,1
19970331,983,50,8,1,0,38,1,1
19970531,1009,39,8,1,0,33,2,1
19970228,1179,20,5.5,1,0,39,2,1
19970709,1029,20,4,5,2,39,1,1
19970714,829,19,4,1,1,23,1,1
19970102,1179,5,5.5,1,0,31,2,1
19970109,2358,160,5.5,1,0,31,2,1
19970201,1179,100,5.5,1,0,36,1,1
19970204,979,80,5.5,1,0,34,2,1
19970108,1226.16,150,5.72,1,0,25,1,1
19970110,1226.16,100,5.72,1,1,36,1,1
19970116,1226.16,200,5.72,1,0,30,2,1
19970131,1018.16,150,5.72,1,0,26,2,1
19970213,1226.16,50,2.86,1,0,23,2,1
19970127,2358,200,10,1,0,37,1,1
19970319,859,75,7.25,1,0,27,2,1
19970217,979,5,8.5,1,0,23,1,1
19970227,979,40,8.5,1,0,26,1,1
19970425,1381.12,125,2.86,1,0,33,2,1
19970207,859,33,5.5,1,0,25,2,1
19970422,1108,75,2.75,1,0,35,2,1
19970221,645.43,30,5.93,1,0,32,2,1
19970301,1054.88,5,5.93,1,0,33,1,1
19970317,645.43,25,5.93,1,0,22,2,1
19970408,925.58,35,5.93,1,0,23,1,1
19970506,1538.67,116,5.93,1,0,30,1,1
19970107,1663.16,175,5.88,1,0,43,2,1
19970112,979,37,5.5,1,0,41,2,1
19970623,1005.64,50,5.96,1,0,21,2,1
19970822,897.39,75,17,1,0,35,2,1
19970204,599,25,8.5,1,0,24,1,1
19970301,979,40,8.25,1,0,28,1,1
19970528,1219.3,75,5.82,1,0,31,2,1
19970323,1261.53,60,5.89,1,1,26,2,1
19970212,599,25,5.5,1,0,21,1,1
19970224,999,50,2.75,1,0,24,1,1
19970309,1855,134,5.5,1,0,24,1,1
19970219,1794.39,75,5.89,1,0,23,2,1
